Letra,Inglés,Español
e,"12,702","12,181"
t,"9,056","4,632"
a,"8,167","11,525"
o,"7,507","8,683"
i,"6,966","6,247"
n,"6,749","6,712"
s,"6,327","7,977"
h,"6,094","0,703"
r,"5,987","6,871"
d,"4,253","5,010"
l,"4,025","4,967"
c,"2,782","4,019"
u,"2,758","2,927"
m,"2,406","3,157"
w,"2,360","0,017"
f,"2,228","0,692"
g,"2,015","1,768"
y,"1,974","1,008"
p,"1,929","2,510"
b,"1,492","2,215"
v,"0,978","1,138"
k,"0,772","0,011"
j,"0,153","0,493"
x,"0,150","0,215"
q,"0,095","0,877"
z,"0,074","0,467"
á,0,"0,502"
é,0,"0,433"
í,0,"0,725"
ó,0,"0,827"
ú,0,"0,168"
ñ,0,"0,311"
ü,0,"0,012"
